날짜,가임 암소 수,도축 비육우 수,암송아지가격(천원/마리),수송아지가격(천원/마리)
20150102,571347,96045,839,1370
20150105,571347,96045,-,-
20150106,571347,96045,-,-
20150107,571347,96045,840,1550
20150108,571347,96045,852,1555
20150109,571347,96045,859,1565
20150112,571347,96045,-,-
20150113,571347,96045,-,-
20150114,571347,96045,890,1650
20150115,571347,96045,1030,1692
20150116,571347,96045,995,1690
20150119,571347,96045,-,-
20150120,571347,96045,-,-
20150121,571347,96045,1081,1727
20150122,571347,96045,976,1687
20150123,571347,96045,1046,1683
20150126,571347,96045,-,-
20150127,571347,96045,-,-
20150128,571347,96045,1071,1798
20150129,571347,96045,1050,1765
20150130,571347,96045,1006,1771
20150202,571347,74901,-,-
20150203,571347,74901,-,-
20150204,571347,74901,1071,1685
20150205,571347,74901,1067,1719
20150206,571347,74901,1058,1706
20150209,571347,74901,-,-
20150210,571347,74901,-,-
20150211,571347,74901,-,-
20150212,571347,74901,-,-
20150213,571347,74901,961,1636
20150216,571347,74901,-,-
20150217,571347,74901,-,-
20150223,571347,74901,-,-
20150224,571347,74901,-,-
20150225,571347,74901,1022,1654
20150226,571347,74901,1020,1655
20150227,571347,74901,1027,1665
20150302,571347,68358,-,-
20150303,571347,68358,-,-
20150304,571347,68358,1006,1664
20150305,571347,68358,1008,1671
20150306,571347,68358,1085,1648
20150309,571347,68358,-,-
20150310,571347,68358,-,-
20150311,571347,68358,1044,1666
20150312,571347,68358,1039,1665
20150313,571347,68358,976,1637
20150316,571347,68358,-,-
20150317,571347,68358,-,-
20150318,571347,68358,982,1681
20150319,571347,68358,978,1666
20150320,571347,68358,967,1507
20150323,571347,68358,-,-
20150324,571347,68358,-,-
20150325,571347,68358,1066,1794
20150326,571347,68358,1044,1781
20150327,571347,68358,1020,1740
20150330,571347,68358,-,-
20150331,571347,68358,-,-
20150401,657797,73697,1013,1676
20150402,657797,73697,1022,1711
20150403,657797,73697,1022,1711
20150406,657797,73697,-,-
20150407,657797,73697,-,-
20150408,657797,73697,1042,1795
20150409,657797,73697,1024,1750
20150410,657797,73697,1048,1775
20150413,657797,73697,-,-
20150414,657797,73697,-,-
20150415,657797,73697,1018,1770
20150416,657797,73697,1018,1770
20150417,657797,73697,974,1766
20150420,657797,73697,-,-
20150421,657797,73697,-,-
20150422,657797,73697,965,1782
20150423,657797,73697,970,1783
20150424,657797,73697,973,1752
20150427,657797,73697,-,-
20150428,657797,73697,-,-
20150429,657797,73697,993,1784
20150430,657797,73697,996,1790
20150504,657797,61745,-,-
20150506,657797,61745,1015,1787
20150507,657797,61745,1007,1821
20150508,657797,61745,1019,1819
20150511,657797,61745,-,-
20150512,657797,61745,-,-
20150513,657797,61745,1057,1836
20150514,657797,61745,1061,1844
20150515,657797,61745,1067,1858
20150518,657797,61745,-,-
20150519,657797,61745,-,-
20150520,657797,61745,963,1577
20150521,657797,61745,1095,1839
20150522,657797,61745,1056,1903
20150526,657797,61745,-,-
20150527,657797,61745,1064,1801
20150528,657797,61745,1069,1808
20150529,657797,61745,994,1602
20150601,657797,67801,-,-
20150602,657797,67801,-,-
20150603,657797,67801,1104,1859
20150604,657797,67801,1048,1765
20150605,657797,67801,1049,1738
20150608,657797,67801,-,-
20150609,657797,67801,-,-
20150610,657797,67801,1081,1833
20150611,657797,67801,1077,1834
20150612,657797,67801,1068,1840
20150615,657797,67801,-,-
20150616,657797,67801,-,-
20150617,657797,67801,1046,1797
20150618,657797,67801,1004,1728
20150619,657797,67801,1004,1728
20150622,657797,67801,-,-
20150623,657797,67801,-,-
20150624,657797,67801,986,1797
20150625,657797,67801,1038,1825
20150626,657797,67801,1041,1824
20150629,657797,67801,-,-
20150630,657797,67801,-,-
20150701,680798,67310,1026,1841
20150702,680798,67310,1029,1842
20150703,680798,67310,1029,1838
20150706,680798,67310,-,-
20150707,680798,67310,-,-
20150708,680798,67310,1035,1774
20150709,680798,67310,1009,1809
20150710,680798,67310,1070,1833
20150713,680798,67310,-,-
20150714,680798,67310,-,-
20150715,680798,67310,972,1830
20150716,680798,67310,960,1817
20150717,680798,67310,967,1800
20150720,680798,67310,-,-
20150721,680798,67310,-,-
20150722,680798,67310,984,1930
20150723,680798,67310,989,1912
20150724,680798,67310,1031,1819
20150727,680798,67310,-,-
20150728,680798,67310,-,-
20150729,680798,67310,922,1760
20150730,680798,67310,954,1813
20150731,680798,67310,1011,1839
20150803,680798,73688,-,-
20150804,680798,73688,-,-
20150805,680798,73688,1011,1812
20150806,680798,73688,972,1829
20150807,680798,73688,984,1807
20150810,680798,73688,-,-
20150811,680798,73688,-,-
20150812,680798,73688,1013,1865
20150813,680798,73688,1016,1876
20150817,680798,73688,-,-
20150818,680798,73688,-,-
20150819,680798,73688,1016,1875
20150820,680798,73688,974,1841
20150821,680798,73688,974,1841
20150824,680798,73688,-,-
20150825,680798,73688,-,-
20150826,680798,73688,1016,1933
20150827,680798,73688,1016,1933
