연월,물가총지수
201501,99.77
201502,99.71
201503,99.72
201504,99.75
201505,100.03
201506,100.05
201507,100.23
201508,100.37
201509,100.11
201510,100.11
201511,99.92
201512,100.22
201601,100.39
201602,100.82
201603,100.56
201604,100.75
201605,100.81
201606,100.79
201607,100.6
201608,100.86
201609,101.46
201610,101.6
201611,101.45
201612,101.56
201701,102.64
201702,102.92
201703,102.85
201704,102.72
201705,102.83
201706,102.61
201707,102.78
201708,103.37
201709,103.49
201710,103.39
201711,102.62
201712,102.99
201801,103.42
201802,104.21
201803,104.1
201804,104.29
201805,104.34
201806,104.13
201807,103.93
201808,104.85
201809,105.65
201810,105.46
201811,104.71
201812,104.35
201901,104.24
201902,104.69
201903,104.49
201904,104.87
201905,105.05
201906,104.88
201907,104.56
201908,104.81
201909,105.2
201910,105.46
201911,104.87
201912,105.12
