,家狼辆幅,免积斥岿,免积滴荐
35,茄快,201501,76
36,茄快,201502,63
37,茄快,201503,111
38,茄快,201504,141
39,茄快,201505,133
40,茄快,201506,94
41,茄快,201507,80
42,茄快,201508,59
43,茄快,201509,52
44,茄快,201510,67
45,茄快,201511,66
46,茄快,201512,78
47,茄快,201501,76
48,茄快,201502,81
49,茄快,201503,105
50,茄快,201504,133
51,茄快,201505,133
52,茄快,201506,104
53,茄快,201507,86
54,茄快,201508,72
55,茄快,201509,55
56,茄快,201510,76
57,茄快,201511,50
58,茄快,201512,76
59,茄快,201501,72
60,茄快,201502,63
61,茄快,201503,157
62,茄快,201504,168
63,茄快,201505,199
64,茄快,201506,114
65,茄快,201507,114
66,茄快,201508,90
67,茄快,201509,53
68,茄快,201510,63
69,茄快,201511,46
70,茄快,201512,69
71,茄快,201501,77
72,茄快,201502,67
73,茄快,201503,143
74,茄快,201504,156
75,茄快,201505,160
76,茄快,201506,118
77,茄快,201507,89
78,茄快,201508,70
79,茄快,201509,68
80,茄快,201510,72
81,茄快,201511,47
82,茄快,201512,73
83,茄快,201501,4
84,茄快,201502,3
85,茄快,201503,23
86,茄快,201504,28
87,茄快,201505,20
88,茄快,201506,13
89,茄快,201507,18
90,茄快,201508,19
91,茄快,201509,3
92,茄快,201510,9
93,茄快,201511,3
94,茄快,201512,11
95,茄快,201501,8
96,茄快,201502,8
97,茄快,201503,11
98,茄快,201504,26
99,茄快,201505,29
100,茄快,201506,10
101,茄快,201507,17
102,茄快,201508,11
103,茄快,201509,9
104,茄快,201510,10
105,茄快,201511,6
106,茄快,201512,4
107,茄快,201501,163
108,茄快,201502,127
109,茄快,201503,212
110,茄快,201504,226
111,茄快,201505,221
112,茄快,201506,156
113,茄快,201507,112
114,茄快,201508,137
115,茄快,201509,121
116,茄快,201510,102
117,茄快,201511,128
118,茄快,201512,111
119,茄快,201501,130
120,茄快,201502,139
121,茄快,201503,211
122,茄快,201504,219
123,茄快,201505,211
124,茄快,201506,163
