,연월,심리지수
0,201501,102.0
1,201502,103.0
2,201503,101.0
3,201504,104.0
4,201505,105.0
5,201506,98.0
6,201507,100.0
7,201508,101.0
8,201509,103.0
9,201510,105.0
10,201511,105.0
11,201512,102.0
12,201601,100.0
13,201602,97.9
14,201603,100.0
15,201604,101.5
16,201605,99.2
17,201606,98.8
18,201607,101.0
19,201608,101.9
20,201609,101.8
21,201610,102.0
22,201611,95.7
23,201612,94.1
24,201701,93.3
25,201702,94.4
26,201703,96.7
27,201704,101.2
28,201705,108.0
29,201706,110.8
30,201707,110.9
31,201708,109.6
32,201709,107.4
33,201710,108.9
34,201711,112.0
35,201712,110.6
36,201801,110.7
37,201802,109.0
38,201803,108.9
39,201804,107.9
40,201805,108.8
41,201806,106.3
42,201807,101.8
43,201808,99.9
44,201809,100.7
45,201810,99.9
46,201811,96.5
47,201812,97.6
48,201901,98.3
49,201902,100.3
50,201903,100.5
51,201904,102.4
52,201905,98.7
53,201906,98.4
54,201907,96.9
55,201908,93.5
56,201909,97.9
57,201910,99.5
58,201911,101.7
59,201912,101.3
