,연월,물가총지수
0,201501,99.77
1,201502,99.71
2,201503,99.72
3,201504,99.75
4,201505,100.03
5,201506,100.05
6,201507,100.23
7,201508,100.37
8,201509,100.11
9,201510,100.11
10,201511,99.92
11,201512,100.22
12,201601,100.39
13,201602,100.82
14,201603,100.56
15,201604,100.75
16,201605,100.81
17,201606,100.79
18,201607,100.6
19,201608,100.86
20,201609,101.46
21,201610,101.6
22,201611,101.45
23,201612,101.56
24,201701,102.64
25,201702,102.92
26,201703,102.85
27,201704,102.72
28,201705,102.83
29,201706,102.61
30,201707,102.78
31,201708,103.37
32,201709,103.49
33,201710,103.39
34,201711,102.62
35,201712,102.99
36,201801,103.42
37,201802,104.21
38,201803,104.1
39,201804,104.29
40,201805,104.34
41,201806,104.13
42,201807,103.93
43,201808,104.85
44,201809,105.65
45,201810,105.46
46,201811,104.71
47,201812,104.35
48,201901,104.24
49,201902,104.69
50,201903,104.49
51,201904,104.87
52,201905,105.05
53,201906,104.88
54,201907,104.56
55,201908,104.81
56,201909,105.2
57,201910,105.46
58,201911,104.87
59,201912,105.12
