날짜,가임암소 수,도축 수,2년전 암송아지 가격,2년전 수송아지 가격,도매 가격,소비자 가격,소비자 심리지수,물가 총지수,물가 농축수산물지수,도체중량,출생두수,사육비,생산량
20150102,571347,96045,839,1370,14255,64390,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150105,571347,96045,839.5,1460.0,14158,65654,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150106,571347,96045,839.75,1505.0,14758,65397,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150107,571347,96045,840,1550,14838,65539,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150108,571347,96045,852,1555,14859,62858,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150109,571347,96045,859,1565,14644,62858,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150112,571347,96045,874.5,1607.5,14367,62440,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150113,571347,96045,882.25,1628.75,14565,62440,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150114,571347,96045,890,1650,14412,62235,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150115,571347,96045,1030,1692,14180,65114,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150116,571347,96045,995,1690,13961,64923,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150119,571347,96045,1038.0,1708.5,13525,65555,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150120,571347,96045,1059.5,1717.75,13861,65721,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150121,571347,96045,1081,1727,13866,65721,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150122,571347,96045,976,1687,13721,66428,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150123,571347,96045,1046,1683,13590,66300,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150126,571347,96045,1058.5,1740.5,13185,66831,102.0,99.77,99.74,413.0513664,50325,6867510,231
20150127,571347,96045,1064.75,1769.25,13561,66754,102.0,99.77,99.74,413.0513664,50325,6867510,231
