날짜,가임암소수,도축 비육우 수,암송아지가격,숫송아지가격,평균 도체 중량,출생두수,소비자 심리지수,사육비,물가 총지수,물가 농축수산물지수,생산량,한우 평균 도매 가격,한우 1등급 소비자 가격
20200104,664495,83001,2841,3396,426.3399183,58970,104.8,9328877,105.79,115.23,249,21906,101847
20200105,664495,83001,2840,3394,426.3399183,58970,104.8,9328877,105.79,115.23,249,21450,101347
20200106,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,21327,102159
20200107,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,21280,101397
20200108,664495,83001,2902,3480,426.3399183,58970,104.8,9328877,105.79,115.23,249,21130,100778
20200111,664495,83001,2915,3477,426.3399183,58970,104.8,9328877,105.79,115.23,249,19722,101294
20200112,664495,83001,2925,3483,426.3399183,58970,104.8,9328877,105.79,115.23,249,21514,100870
20200113,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,21648,101210
20200114,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,21364,102550
20200115,664495,83001,2948,3558,426.3399183,58970,104.8,9328877,105.79,115.23,249,20642,102274
20200118,664495,83001,2950,3576,426.3399183,58970,104.8,9328877,105.79,115.23,249,19817,103266
20200119,664495,83001,2958,3585,426.3399183,58970,104.8,9328877,105.79,115.23,249,21141,103266
20200120,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,21026,103266
20200121,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,20562,101816
20200122,664495,83001,2976,3548,426.3399183,58970,104.8,9328877,105.79,115.23,249,19648,100154
20200125,664495,83001,2962,3532,426.3399183,58970,104.8,9328877,105.79,115.23,249,19169,100976
20200126,664495,83001,2953,3545,426.3399183,58970,104.8,9328877,105.79,115.23,249,19656,100011
20200127,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,19223,100115
20200128,664495,83001,,,426.3399183,58970,104.8,9328877,105.79,115.23,249,18905,99076
20200129,664495,83001,2970,3503,426.3399183,58970,104.8,9328877,105.79,115.23,249,17766,99076
20200201,664495,45871,2977,3519,425.2189669,76552,97.8,9328877,105.8,114.01,249,17549,99140
20200202,664495,45871,2966,3501,425.2189669,76552,97.8,9328877,105.8,114.01,249,20160,100226
20200203,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,19752,100781
20200204,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,20333,101448
20200205,664495,45871,2937,3519,425.2189669,76552,97.8,9328877,105.8,114.01,249,21071,101448
20200208,664495,45871,2878,3503,425.2189669,76552,97.8,9328877,105.8,114.01,249,22418,100604
20200209,664495,45871,2891,3496,425.2189669,76552,97.8,9328877,105.8,114.01,249,20297,99028
20200210,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,15910,99642
20200215,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,15910,98381
20200216,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,20561,99987
20200217,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,20597,100519
20200218,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,21150,99705
20200219,664495,45871,3011,3514,425.2189669,76552,97.8,9328877,105.8,114.01,249,19836,101378
20200222,664495,45871,2918,3506,425.2189669,76552,97.8,9328877,105.8,114.01,249,13795,100814
20200223,664495,45871,2914,3482,425.2189669,76552,97.8,9328877,105.8,114.01,249,20431,101723
20200224,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,20439,101723
20200225,664495,45871,,,425.2189669,76552,97.8,9328877,105.8,114.01,249,20338,102746
20200226,664495,45871,3031,3592,425.2189669,76552,97.8,9328877,105.8,114.01,249,19730,100413
20200301,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,17299,100413
20200302,664495,54790,3040,3606,422.4305718,123651,80.4,9328877,105.54,114.92,249,20286,102004
20200303,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,20684,101356
20200304,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,21145,101619
20200305,664495,54790,3097,3683,422.4305718,123651,80.4,9328877,105.54,114.92,249,21542,102070
20200308,664495,54790,3120,3734,422.4305718,123651,80.4,9328877,105.54,114.92,249,16095,102070
20200309,664495,54790,3087,3737,422.4305718,123651,80.4,9328877,105.54,114.92,249,21196,101316
20200310,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,21026,101676
20200311,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,20262,101250
20200312,664495,54790,3079,3851,422.4305718,123651,80.4,9328877,105.54,114.92,249,20359,101663
20200315,664495,54790,3130,3858,422.4305718,123651,80.4,9328877,105.54,114.92,249,17130,101663
20200316,664495,54790,3129,3859,422.4305718,123651,80.4,9328877,105.54,114.92,249,20227,102104
20200317,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,20203,102134
20200318,664495,54790,,,422.4305718,123651,80.4,9328877,105.54,114.92,249,19725,101461
