날짜,가임 암소 수,도축 비육우 수,암송아지가격(천원/마리),수송아지가격(천원/마리),심리지수,물가총지수,물가농축수산물지수,평균도체중량,생산량,출생두수,두당사육비,한우 평균 도매 가격,한우 1등급 소비자 가격
20150102,571347,96045,839,1370,102,99.77,99.74,413.0513664,267,50325,6867510,17343,78497
20150105,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,18445,78548
20150106,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,18813,78738
20150107,571347,96045,840,1550,102,99.77,99.74,413.0513664,267,50325,6867510,18905,76974
20150108,571347,96045,852,1555,102,99.77,99.74,413.0513664,267,50325,6867510,18950,76924
20150109,571347,96045,859,1565,102,99.77,99.74,413.0513664,267,50325,6867510,18735,77156
20150112,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,19183,77130
20150113,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,19168,77152
20150114,571347,96045,890,1650,102,99.77,99.74,413.0513664,267,50325,6867510,19157,77948
20150115,571347,96045,1030,1692,102,99.77,99.74,413.0513664,267,50325,6867510,18909,78252
20150116,571347,96045,995,1690,102,99.77,99.74,413.0513664,267,50325,6867510,18728,79382
20150119,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,19215,79382
20150120,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,18995,79685
20150121,571347,96045,1081,1727,102,99.77,99.74,413.0513664,267,50325,6867510,18963,79260
20150122,571347,96045,976,1687,102,99.77,99.74,413.0513664,267,50325,6867510,18664,78809
20150123,571347,96045,1046,1683,102,99.77,99.74,413.0513664,267,50325,6867510,18014,78809
20150126,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,18186,78809
20150127,571347,96045,-,-,102,99.77,99.74,413.0513664,267,50325,6867510,18038,78809
20150128,571347,96045,1071,1798,102,99.77,99.74,413.0513664,267,50325,6867510,17874,80009
20150129,571347,96045,1050,1765,102,99.77,99.74,413.0513664,267,50325,6867510,17497,80759
20150130,571347,96045,1006,1771,102,99.77,99.74,413.0513664,267,50325,6867510,17243,80994
20150202,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,17741,80658
20150203,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,17763,80738
20150204,571347,74901,1071,1685,103,99.71,101.02,411.5396985,267,56096,6867510,17711,81382
20150205,571347,74901,1067,1719,103,99.71,101.02,411.5396985,267,56096,6867510,17912,81533
20150206,571347,74901,1058,1706,103,99.71,101.02,411.5396985,267,56096,6867510,17912,82541
20150209,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,18449,81929
20150210,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,18200,82709
20150211,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,18176,82406
20150212,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,18049,81919
20150213,571347,74901,961,1636,103,99.71,101.02,411.5396985,267,56096,6867510,17693,82224
20150216,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,17435,81252
20150217,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,17570,80850
20150223,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,17735,81100
20150224,571347,74901,-,-,103,99.71,101.02,411.5396985,267,56096,6867510,17654,80218
