날짜,가임암소 수,도축 수,암송아지가격,숫송아지가격,소비자 심리지수,물가 총지수,물가 농축수산물지수,도체 중량,생산량,출생두수,사육비,도매 가격,소비자 가격
20200104,0.418045221,0.718038858,0.797609562,0.687012547,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.892739439,0.886815476
20200105,0.418045221,0.718038858,0.797211155,0.686334351,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.847198642,0.871934524
20200106,0.418045221,0.718038858,0.805444887,0.69605516,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.834914611,0.89610119
20200107,0.418045221,0.718038858,0.813678619,0.705775969,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.830220713,0.873422619
20200108,0.418045221,0.718038858,0.821912351,0.715496779,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.815240188,0.855
20200111,0.418045221,0.718038858,0.827091633,0.714479485,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.67462299,0.870357143
20200112,0.418045221,0.718038858,0.831075697,0.716514073,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.853590333,0.857738095
20200113,0.418045221,0.718038858,0.834130146,0.724991523,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.866972935,0.867857143
20200114,0.418045221,0.718038858,0.837184595,0.733468973,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.838609807,0.907738095
20200115,0.418045221,0.718038858,0.840239044,0.741946423,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.766503545,0.89952381
20200118,0.418045221,0.718038858,0.841035857,0.748050187,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.684110656,0.929047619
20200119,0.418045221,0.718038858,0.844223108,0.751102068,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.81633876,0.929047619
20200120,0.418045221,0.718038858,0.846613546,0.74691986,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.80485369,0.929047619
20200121,0.418045221,0.718038858,0.849003984,0.742737651,0.983791262,0.426203178,0.610110401,1,0.006654754,9.10E-06,0,0.758513932,0.885892857
