날짜,가임암소 수,도축 수,암송아지가격,숫송아지가격,소비자 심리지수,물가 총지수,물가 농축수산물지수,도체 중량,생산량,출생두수,사육비,도매 가격,소비자 가격
20200104,-0.111145791,1.344183896,0.636538342,0.46733464,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,2.180843555,1.688893853
20200105,-0.111145791,1.344183896,0.635224688,0.464726267,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.917304441,1.634306078
20200106,-0.111145791,1.344183896,0.66237354,0.502112956,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.846218233,1.722956624
20200107,-0.111145791,1.344183896,0.68952239,0.539499645,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.81905521,1.639764856
20200108,-0.111145791,1.344183896,0.716671242,0.576886335,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.732364712,1.572185191
20200111,-0.111145791,1.344183896,0.733748745,0.572973774,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,0.918629903,1.628519774
20200112,-0.111145791,1.344183896,0.746885286,0.580798895,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.954292387,1.582229341
20200113,-0.111145791,1.344183896,0.756956635,0.613403566,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,2.031735898,1.619349028
20200114,-0.111145791,1.344183896,0.767027982,0.646008237,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.867601889,1.765644264
20200115,-0.111145791,1.344183896,0.777099331,0.678612908,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,1.450331625,1.735511812
20200118,-0.111145791,1.344183896,0.779726639,0.702088271,2.243842236,1.299858352,0.048318674,2.217432662,-2.157762354,-1.603350767,-2.171982117,0.973533886,1.843813957
