날짜,가임암소 수,도축 수,암송아지가격,숫송아지가격,소비자 심리지수,물가 총지수,물가 농축수산물지수,도체 중량,생산량,출생두수,사육비,도매 가격,소비자 가격
20150102,0,0.906745946,0,0,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.437031859,0.191875
20150105,0,0.906745946,0.000132802,0.02034588,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.547088785,0.193392857
20150106,0,0.906745946,0.000265604,0.04069176,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.583841007,0.199047619
20150107,0,0.906745946,0.000398406,0.06103764,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.593029062,0.146547619
20150108,0,0.906745946,0.005179283,0.06273313,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.59752322,0.145059524
20150109,0,0.906745946,0.007968127,0.06612411,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.576051134,0.151964286
20150112,0,0.906745946,0.012084993,0.075731886,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.620792969,0.151190476
20150113,0,0.906745946,0.016201859,0.085339663,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.619294917,0.151845238
20150114,0,0.906745946,0.020318725,0.09494744,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.618196345,0.175535714
20150115,0,0.906745946,0.076095618,0.109189556,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.593428543,0.184583333
20150116,0,0.906745946,0.062151394,0.10851136,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.575352042,0.218214286
20150119,0,0.906745946,0.073572377,0.112693568,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.623988815,0.218214286
20150120,0,0.906745946,0.08499336,0.116875777,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.602017377,0.227232143
20150121,0,0.906745946,0.096414343,0.121057986,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.598821532,0.214583333
20150122,0,0.906745946,0.054581673,0.107494066,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.568960352,0.201160714
20150123,0,0.906745946,0.08247012,0.106137674,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.504044742,0.201160714
20150126,0,0.906745946,0.085790173,0.11913643,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.521222411,0.201160714
20150127,0,0.906745946,0.089110226,0.132135187,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.506441626,0.201160714
20150128,0,0.906745946,0.092430279,0.145133944,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.490062918,0.236875
20150129,0,0.906745946,0.084063745,0.13394371,0.025699574,4.34E-07,0.512105365,1.97E-06,1,0.374546791,0.789336806,0.452411865,0.259196429
