날짜,가임암소 수,도축 수,암송아지가격,숫송아지가격,소비자 심리지수,물가 총지수,물가 농축수산물지수,도체 중량,생산량,출생두수,사육비,도매 가격,소비자 가격
20150102,-1.726188784,2.231623828,-1.993397162,-2.17494789,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,-0.456281396,-0.860355221
20150105,-1.726188784,2.231623828,-1.992959278,-2.09669668,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.180604797,-0.854787268
20150106,-1.726188784,2.231623828,-1.992521393,-2.01844547,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.393285485,-0.834043913
20150107,-1.726188784,2.231623828,-1.992083508,-1.94019426,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.446455657,-1.026629582
20150108,-1.726188784,2.231623828,-1.976319659,-1.933673325,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.472462807,-1.032088359
20150109,-1.726188784,2.231623828,-1.96712408,-1.920631457,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.348206426,-1.006759632
20150112,-1.726188784,2.231623828,-1.953549655,-1.883679497,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.607122047,-1.009598196
20150113,-1.726188784,2.231623828,-1.939975229,-1.846727536,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.598452997,-1.007196334
20150114,-1.726188784,2.231623828,-1.926400803,-1.809775576,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.592095694,-0.920292597
20150115,-1.726188784,2.231623828,-1.742489229,-1.754999729,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.448767404,-0.88710323
20150116,-1.726188784,2.231623828,-1.788467123,-1.757608102,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.34416087,-0.763734859
20150119,-1.726188784,2.231623828,-1.750809038,-1.741523132,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.62561602,-0.763734859
20150120,-1.726188784,2.231623828,-1.713150955,-1.72543816,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.498469956,-0.730654668
20150121,-1.726188784,2.231623828,-1.67549287,-1.70935319,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.479975983,-0.777054276
20150122,-1.726188784,2.231623828,-1.813426551,-1.761520663,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.307172924,-0.826292449
20150123,-1.726188784,2.231623828,-1.721470764,-1.76673741,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,-0.068485901,-0.826292449
20150126,-1.726188784,2.231623828,-1.710523647,-1.716743582,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,0.030919203,-0.826292449
20150127,-1.726188784,2.231623828,-1.699576528,-1.666749752,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,-0.054615421,-0.826292449
20150128,-1.726188784,2.231623828,-1.688629411,-1.616755924,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,-0.149397033,-0.69528179
20150129,-1.726188784,2.231623828,-1.716216147,-1.65979409,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,-0.367279151,-0.613400128
20150130,-1.726188784,2.231623828,-1.774016928,-1.651968969,-0.450499499,-0.423317272,-0.469963548,-0.450668648,0.879926183,-0.300664024,0.121264254,-0.514075061,-0.587743874
20150202,-1.726188784,0.793105741,-1.745554422,-1.689355658,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.226262607,-0.624426859
20150203,-1.726188784,0.793105741,-1.717091917,-1.726742347,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.213548001,-0.615692815
20150204,-1.726188784,0.793105741,-1.688629411,-1.764129037,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.243600707,-0.545383761
20150205,-1.726188784,0.793105741,-1.693884028,-1.719786684,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.12743544,-0.528898253
20150206,-1.726188784,0.793105741,-1.705706915,-1.736741113,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.12743544,-0.4188493
20150209,-1.726188784,0.793105741,-1.731191804,-1.754999729,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,0.182916543,-0.485664736
20150210,-1.726188784,0.793105741,-1.756676694,-1.773258345,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,0.039010317,-0.400507807
20150211,-1.726188784,0.793105741,-1.782161583,-1.79151696,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,0.025139837,-0.433587999
20150212,-1.726188784,0.793105741,-1.807646473,-1.809775576,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.048258118,-0.486756491
20150213,-1.726188784,0.793105741,-1.833131362,-1.828034192,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.254003567,-0.453457949
20150216,-1.726188784,0.793105741,-1.817104782,-1.823339119,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.403111224,-0.559576583
20150217,-1.726188784,0.793105741,-1.801078202,-1.818644046,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.325089775,-0.603465153
20150223,-1.726188784,0.793105741,-1.785051622,-1.813948974,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.229730227,-0.576171266
20150224,-1.726188784,0.793105741,-1.769025042,-1.809253901,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.276543096,-0.6724641
20150225,-1.726188784,0.793105741,-1.752998462,-1.804558829,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,-0.12223401,-0.697902003
20150226,-1.726188784,0.793105741,-1.75562577,-1.803254642,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,0.000866497,-0.842122904
20150227,-1.726188784,0.793105741,-1.746430192,-1.790212773,-0.442192345,-0.423319028,-0.338856583,-0.450669081,0.879926183,-0.150936088,0.121264254,0.042477936,-0.687748677
20150302,-1.726188784,0.347957054,-1.75562577,-1.790647502,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.256892435,-0.683600006
20150303,-1.726188784,0.347957054,-1.764821349,-1.791082232,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.399064852,-0.680215564
20150304,-1.726188784,0.347957054,-1.774016928,-1.79151696,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.596141251,-0.69528179
20150305,-1.726188784,0.347957054,-1.77138962,-1.782387652,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.755651767,-0.635016887
20150306,-1.726188784,0.347957054,-1.670238254,-1.81238395,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.720975568,-0.489813407
20150309,-1.726188784,0.347957054,-1.688191527,-1.804558829,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.584582518,-0.470489334
20150310,-1.726188784,0.347957054,-1.706144799,-1.796733708,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.455702644,-0.425618184
20150311,-1.726188784,0.347957054,-1.724098072,-1.788908587,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.274808471,-0.529007429
20150312,-1.726188784,0.347957054,-1.730666343,-1.790212773,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.399642788,-0.516343065
20150313,-1.726188784,0.347957054,-1.813426551,-1.826730005,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.292146571,-0.46666819
20150316,-1.726188784,0.347957054,-1.810799243,-1.807601931,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,0.053458733,-0.455423109
20150317,-1.726188784,0.347957054,-1.808171934,-1.788473858,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,-0.230308164,-0.6872028
20150318,-1.726188784,0.347957054,-1.805544626,-1.769345784,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,-0.26036087,-0.698993759
20150319,-1.726188784,0.347957054,-1.810799243,-1.788908587,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,-0.117610517,-0.732401477
20150320,-1.726188784,0.347957054,-1.825249438,-1.996274294,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,-0.145929413,-0.666241094
20150323,-1.726188784,0.347957054,-1.781898852,-1.871507086,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,-0.147085286,-0.665586041
20150324,-1.726188784,0.347957054,-1.738548267,-1.746739879,-0.458806653,-0.423318736,-0.541662669,-0.450669692,0.879926183,0.994167386,0.121264254,-0.178293865,-0.565581238
