시도명,시군명,소의종류,소의성별,사육개월령,사육두수
강원도,강릉시,육우,수소,20개월이하,28
강원도,강릉시,육우,수소,27개월,2
강원도,강릉시,육우,수소,32개월,1
강원도,강릉시,육우,수소,35개월,2
강원도,강릉시,육우,수소,40개월이상,1
강원도,강릉시,젖소,암소,20개월이하,186
강원도,강릉시,젖소,암소,21개월,38
강원도,강릉시,젖소,암소,22개월,3
강원도,강릉시,젖소,암소,23개월,4
강원도,강릉시,젖소,암소,24개월,7
강원도,강릉시,젖소,암소,25개월,14
강원도,강릉시,젖소,암소,26개월,9
강원도,강릉시,젖소,암소,27개월,6
강원도,강릉시,젖소,암소,28개월,9
강원도,강릉시,젖소,암소,29개월,5
강원도,강릉시,젖소,암소,30개월,5
강원도,강릉시,젖소,암소,31개월,7
강원도,강릉시,젖소,암소,32개월,9
강원도,강릉시,젖소,암소,33개월,11
강원도,강릉시,젖소,암소,34개월,12
강원도,강릉시,젖소,암소,35개월,9
강원도,강릉시,젖소,암소,36개월,4
강원도,강릉시,젖소,암소,37개월,9
강원도,강릉시,젖소,암소,38개월,11
강원도,강릉시,젖소,암소,39개월,5
강원도,강릉시,젖소,암소,40개월이상,283
강원도,강릉시,한우,수소,20개월이하,2175
강원도,강릉시,한우,수소,21개월,82
강원도,강릉시,한우,수소,22개월,58
강원도,강릉시,한우,수소,23개월,78
강원도,강릉시,한우,수소,24개월,111
강원도,강릉시,한우,수소,25개월,179
강원도,강릉시,한우,수소,26개월,201
강원도,강릉시,한우,수소,27개월,159
강원도,강릉시,한우,수소,28개월,127
강원도,강릉시,한우,수소,29개월,38
강원도,강릉시,한우,수소,30개월,16
강원도,강릉시,한우,수소,31개월,9
강원도,강릉시,한우,수소,32개월,2
강원도,강릉시,한우,수소,34개월,1
강원도,강릉시,한우,수소,36개월,1
강원도,강릉시,한우,수소,37개월,1
강원도,강릉시,한우,수소,39개월,1
강원도,강릉시,한우,수소,40개월이상,4
강원도,강릉시,한우,암소,20개월이하,1838
강원도,강릉시,한우,암소,21개월,70
강원도,강릉시,한우,암소,22개월,69
강원도,강릉시,한우,암소,23개월,59
강원도,강릉시,한우,암소,24개월,82
강원도,강릉시,한우,암소,25개월,91
강원도,강릉시,한우,암소,26개월,115
강원도,강릉시,한우,암소,27개월,119
강원도,강릉시,한우,암소,28개월,104
강원도,강릉시,한우,암소,29개월,64
강원도,강릉시,한우,암소,30개월,56
강원도,강릉시,한우,암소,31개월,46
강원도,강릉시,한우,암소,32개월,45
강원도,강릉시,한우,암소,33개월,44
강원도,강릉시,한우,암소,34개월,61
강원도,강릉시,한우,암소,35개월,76
강원도,강릉시,한우,암소,36개월,77
강원도,강릉시,한우,암소,37개월,71
강원도,강릉시,한우,암소,38개월,99
강원도,강릉시,한우,암소,39개월,107
강원도,강릉시,한우,암소,40개월이상,1589
강원도,고성군,육우,수소,20개월이하,7
강원도,고성군,육우,암소,20개월이하,2
강원도,고성군,젖소,암소,20개월이하,6
강원도,고성군,한우,수소,20개월이하,2572
강원도,고성군,한우,수소,21개월,55
강원도,고성군,한우,수소,22개월,52
강원도,고성군,한우,수소,23개월,55
강원도,고성군,한우,수소,24개월,75
강원도,고성군,한우,수소,25개월,78
강원도,고성군,한우,수소,26개월,98
강원도,고성군,한우,수소,27개월,160
강원도,고성군,한우,수소,28개월,88
강원도,고성군,한우,수소,29개월,61
강원도,고성군,한우,수소,30개월,45
강원도,고성군,한우,수소,31개월,16
강원도,고성군,한우,수소,32개월,8
강원도,고성군,한우,수소,33개월,7
강원도,고성군,한우,수소,34개월,3
강원도,고성군,한우,수소,35개월,2
강원도,고성군,한우,수소,36개월,3
강원도,고성군,한우,수소,37개월,4
강원도,고성군,한우,수소,38개월,3
강원도,고성군,한우,수소,39개월,2
강원도,고성군,한우,수소,40개월이상,20
강원도,고성군,한우,암소,20개월이하,2473
강원도,고성군,한우,암소,21개월,63
강원도,고성군,한우,암소,22개월,56
강원도,고성군,한우,암소,23개월,81
강원도,고성군,한우,암소,24개월,115
강원도,고성군,한우,암소,25개월,110
강원도,고성군,한우,암소,26개월,171
강원도,고성군,한우,암소,27개월,264
강원도,고성군,한우,암소,28개월,147
강원도,고성군,한우,암소,29개월,86
강원도,고성군,한우,암소,30개월,64
강원도,고성군,한우,암소,31개월,75
강원도,고성군,한우,암소,32개월,53
강원도,고성군,한우,암소,33개월,70
강원도,고성군,한우,암소,34개월,54
강원도,고성군,한우,암소,35개월,67
강원도,고성군,한우,암소,36개월,65
강원도,고성군,한우,암소,37개월,117
강원도,고성군,한우,암소,38개월,141
강원도,고성군,한우,암소,39개월,143
강원도,고성군,한우,암소,40개월이상,2278
강원도,동해시,한우,수소,20개월이하,198
강원도,동해시,한우,수소,21개월,5
강원도,동해시,한우,수소,22개월,2
강원도,동해시,한우,수소,23개월,6
강원도,동해시,한우,수소,24개월,9
강원도,동해시,한우,수소,25개월,16
강원도,동해시,한우,수소,26개월,7
강원도,동해시,한우,수소,27개월,6
강원도,동해시,한우,수소,28개월,10
강원도,동해시,한우,수소,29개월,4
강원도,동해시,한우,수소,30개월,1
강원도,동해시,한우,암소,20개월이하,283
강원도,동해시,한우,암소,21개월,16
강원도,동해시,한우,암소,22개월,9
강원도,동해시,한우,암소,23개월,7
강원도,동해시,한우,암소,24개월,17
강원도,동해시,한우,암소,25개월,16
강원도,동해시,한우,암소,26개월,12
강원도,동해시,한우,암소,27개월,18
강원도,동해시,한우,암소,28개월,21
강원도,동해시,한우,암소,29개월,5
강원도,동해시,한우,암소,30개월,6
강원도,동해시,한우,암소,31개월,11
강원도,동해시,한우,암소,32개월,7
강원도,동해시,한우,암소,33개월,3
강원도,동해시,한우,암소,34개월,7
강원도,동해시,한우,암소,35개월,4
강원도,동해시,한우,암소,36개월,11
강원도,동해시,한우,암소,37개월,10
강원도,동해시,한우,암소,38개월,6
강원도,동해시,한우,암소,39개월,11
강원도,동해시,한우,암소,40개월이상,210
강원도,삼척시,한우,수소,20개월이하,2568
강원도,삼척시,한우,수소,21개월,77
강원도,삼척시,한우,수소,22개월,105
강원도,삼척시,한우,수소,23개월,88
강원도,삼척시,한우,수소,24개월,99
강원도,삼척시,한우,수소,25개월,115
강원도,삼척시,한우,수소,26개월,130
강원도,삼척시,한우,수소,27개월,140
강원도,삼척시,한우,수소,28개월,153
강원도,삼척시,한우,수소,29개월,34
강원도,삼척시,한우,수소,30개월,22
강원도,삼척시,한우,수소,31개월,8
강원도,삼척시,한우,수소,32개월,5
강원도,삼척시,한우,수소,33개월,2
강원도,삼척시,한우,수소,34개월,2
강원도,삼척시,한우,수소,35개월,3
강원도,삼척시,한우,수소,36개월,2
강원도,삼척시,한우,수소,40개월이상,1
강원도,삼척시,한우,암소,20개월이하,2938
강원도,삼척시,한우,암소,21개월,97
강원도,삼척시,한우,암소,22개월,99
강원도,삼척시,한우,암소,23개월,128
강원도,삼척시,한우,암소,24개월,106
강원도,삼척시,한우,암소,25개월,125
강원도,삼척시,한우,암소,26개월,208
강원도,삼척시,한우,암소,27개월,186
강원도,삼척시,한우,암소,28개월,182
강원도,삼척시,한우,암소,29개월,74
강원도,삼척시,한우,암소,30개월,62
강원도,삼척시,한우,암소,31개월,69
강원도,삼척시,한우,암소,32개월,54
강원도,삼척시,한우,암소,33개월,81
강원도,삼척시,한우,암소,34개월,65
강원도,삼척시,한우,암소,35개월,83
강원도,삼척시,한우,암소,36개월,57
강원도,삼척시,한우,암소,37개월,106
강원도,삼척시,한우,암소,38개월,150
강원도,삼척시,한우,암소,39개월,166
강원도,삼척시,한우,암소,40개월이상,2898
강원도,속초시,한우,수소,20개월이하,51
강원도,속초시,한우,수소,21개월,4
강원도,속초시,한우,수소,22개월,3
강원도,속초시,한우,수소,23개월,3
강원도,속초시,한우,수소,24개월,3
강원도,속초시,한우,수소,25개월,1
강원도,속초시,한우,수소,26개월,2
강원도,속초시,한우,수소,28개월,3
강원도,속초시,한우,수소,29개월,4
강원도,속초시,한우,수소,30개월,6
강원도,속초시,한우,수소,31개월,5
강원도,속초시,한우,수소,40개월이상,1
강원도,속초시,한우,암소,20개월이하,55
강원도,속초시,한우,암소,21개월,6
강원도,속초시,한우,암소,22개월,4
강원도,속초시,한우,암소,23개월,9
강원도,속초시,한우,암소,24개월,5
강원도,속초시,한우,암소,25개월,5
강원도,속초시,한우,암소,26개월,6
강원도,속초시,한우,암소,27개월,10
강원도,속초시,한우,암소,28개월,6
강원도,속초시,한우,암소,29개월,4
강원도,속초시,한우,암소,30개월,5
강원도,속초시,한우,암소,31개월,5
강원도,속초시,한우,암소,32개월,3
강원도,속초시,한우,암소,33개월,4
강원도,속초시,한우,암소,34개월,1
강원도,속초시,한우,암소,35개월,2
강원도,속초시,한우,암소,36개월,2
강원도,속초시,한우,암소,37개월,3
강원도,속초시,한우,암소,38개월,4
강원도,속초시,한우,암소,39개월,1
강원도,속초시,한우,암소,40개월이상,58
강원도,양구군,한우,수소,20개월이하,2677
강원도,양구군,한우,수소,21개월,104
강원도,양구군,한우,수소,22개월,86
강원도,양구군,한우,수소,23개월,141
강원도,양구군,한우,수소,24개월,127
강원도,양구군,한우,수소,25개월,201
강원도,양구군,한우,수소,26개월,173
강원도,양구군,한우,수소,27개월,227
강원도,양구군,한우,수소,28개월,166
강원도,양구군,한우,수소,29개월,41
강원도,양구군,한우,수소,30개월,26
강원도,양구군,한우,수소,31개월,36
강원도,양구군,한우,수소,32개월,4
강원도,양구군,한우,수소,33개월,5
강원도,양구군,한우,수소,34개월,4
강원도,양구군,한우,수소,35개월,2
강원도,양구군,한우,수소,36개월,5
강원도,양구군,한우,수소,37개월,1
강원도,양구군,한우,수소,38개월,6
강원도,양구군,한우,수소,39개월,5
강원도,양구군,한우,수소,40개월이상,7
강원도,양구군,한우,암소,20개월이하,1707
강원도,양구군,한우,암소,21개월,44
강원도,양구군,한우,암소,22개월,56
강원도,양구군,한우,암소,23개월,70
강원도,양구군,한우,암소,24개월,73
강원도,양구군,한우,암소,25개월,91
강원도,양구군,한우,암소,26개월,88
강원도,양구군,한우,암소,27개월,119
강원도,양구군,한우,암소,28개월,112
강원도,양구군,한우,암소,29개월,40
강원도,양구군,한우,암소,30개월,46
강원도,양구군,한우,암소,31개월,28
강원도,양구군,한우,암소,32개월,27
강원도,양구군,한우,암소,33개월,29
강원도,양구군,한우,암소,34개월,36
강원도,양구군,한우,암소,35개월,44
강원도,양구군,한우,암소,36개월,63
강원도,양구군,한우,암소,37개월,60
강원도,양구군,한우,암소,38개월,124
강원도,양구군,한우,암소,39개월,111
강원도,양구군,한우,암소,40개월이상,1750
강원도,양양군,육우,수소,20개월이하,9
강원도,양양군,육우,수소,21개월,3
강원도,양양군,육우,수소,22개월,1
강원도,양양군,육우,수소,23개월,2
강원도,양양군,육우,수소,24개월,3
강원도,양양군,육우,수소,25개월,2
강원도,양양군,육우,수소,27개월,3
강원도,양양군,한우,수소,20개월이하,1464
강원도,양양군,한우,수소,21개월,44
강원도,양양군,한우,수소,22개월,61
강원도,양양군,한우,수소,23개월,62
강원도,양양군,한우,수소,24개월,55
강원도,양양군,한우,수소,25개월,48
강원도,양양군,한우,수소,26개월,81
강원도,양양군,한우,수소,27개월,65
강원도,양양군,한우,수소,28개월,73
강원도,양양군,한우,수소,29개월,39
강원도,양양군,한우,수소,30개월,17
강원도,양양군,한우,수소,31개월,6
강원도,양양군,한우,수소,32개월,1
강원도,양양군,한우,수소,34개월,1
강원도,양양군,한우,수소,35개월,2
강원도,양양군,한우,암소,20개월이하,1635
강원도,양양군,한우,암소,21개월,43
강원도,양양군,한우,암소,22개월,43
강원도,양양군,한우,암소,23개월,84
강원도,양양군,한우,암소,24개월,66
강원도,양양군,한우,암소,25개월,75
강원도,양양군,한우,암소,26개월,101
강원도,양양군,한우,암소,27개월,123
강원도,양양군,한우,암소,28개월,101
강원도,양양군,한우,암소,29개월,56
강원도,양양군,한우,암소,30개월,49
강원도,양양군,한우,암소,31개월,29
강원도,양양군,한우,암소,32개월,17
강원도,양양군,한우,암소,33개월,33
강원도,양양군,한우,암소,34개월,43
강원도,양양군,한우,암소,35개월,49
강원도,양양군,한우,암소,36개월,67
강원도,양양군,한우,암소,37개월,77
강원도,양양군,한우,암소,38개월,100
강원도,양양군,한우,암소,39개월,111
강원도,양양군,한우,암소,40개월이상,1946
강원도,영월군,육우,수소,20개월이하,1
강원도,영월군,한우,수소,20개월이하,2864
강원도,영월군,한우,수소,21개월,90
강원도,영월군,한우,수소,22개월,118
강원도,영월군,한우,수소,23개월,142
강원도,영월군,한우,수소,24개월,239
강원도,영월군,한우,수소,25개월,167
강원도,영월군,한우,수소,26개월,174
강원도,영월군,한우,수소,27개월,225
강원도,영월군,한우,수소,28개월,263
강원도,영월군,한우,수소,29개월,58
강원도,영월군,한우,수소,30개월,54
강원도,영월군,한우,수소,31개월,31
강원도,영월군,한우,수소,32개월,7
강원도,영월군,한우,수소,33개월,12
강원도,영월군,한우,수소,34개월,2
강원도,영월군,한우,수소,35개월,4
강원도,영월군,한우,수소,36개월,4
강원도,영월군,한우,수소,37개월,6
강원도,영월군,한우,수소,40개월이상,2
강원도,영월군,한우,암소,20개월이하,3301
강원도,영월군,한우,암소,21개월,106
강원도,영월군,한우,암소,22개월,120
강원도,영월군,한우,암소,23개월,156
강원도,영월군,한우,암소,24개월,136
강원도,영월군,한우,암소,25개월,181
강원도,영월군,한우,암소,26개월,190
강원도,영월군,한우,암소,27개월,285
강원도,영월군,한우,암소,28개월,275
강원도,영월군,한우,암소,29개월,121
강원도,영월군,한우,암소,30개월,66
강원도,영월군,한우,암소,31개월,60
강원도,영월군,한우,암소,32개월,65
강원도,영월군,한우,암소,33개월,68
