시도명,시군명,소의종류,소의성별,출생년월,출생두수
강원도,강릉시,육우,수,201901,16
강원도,강릉시,육우,수,201902,15
강원도,강릉시,육우,수,201903,14
강원도,강릉시,육우,수,201904,6
강원도,강릉시,육우,수,201905,12
강원도,강릉시,육우,수,201906,7
강원도,강릉시,육우,수,201907,14
강원도,강릉시,육우,수,201908,14
강원도,강릉시,육우,수,201909,5
강원도,강릉시,육우,수,201910,15
강원도,강릉시,육우,수,201911,11
강원도,강릉시,육우,수,201912,7
강원도,강릉시,육우,암,201902,1
강원도,강릉시,육우,암,201903,4
강원도,강릉시,육우,암,201904,1
강원도,강릉시,육우,암,201906,3
강원도,강릉시,육우,암,201907,1
강원도,강릉시,육우,암,201909,2
강원도,강릉시,젖소,암,201901,12
강원도,강릉시,젖소,암,201902,5
강원도,강릉시,젖소,암,201903,24
강원도,강릉시,젖소,암,201904,2
강원도,강릉시,젖소,암,201905,10
강원도,강릉시,젖소,암,201906,9
강원도,강릉시,젖소,암,201907,6
강원도,강릉시,젖소,암,201908,15
강원도,강릉시,젖소,암,201909,7
강원도,강릉시,젖소,암,201910,29
강원도,강릉시,젖소,암,201911,7
강원도,강릉시,젖소,암,201912,15
강원도,강릉시,한우,수,201901,64
강원도,강릉시,한우,수,201902,81
강원도,강릉시,한우,수,201903,142
강원도,강릉시,한우,수,201904,132
강원도,강릉시,한우,수,201905,124
강원도,강릉시,한우,수,201906,141
강원도,강릉시,한우,수,201907,117
강원도,강릉시,한우,수,201908,89
강원도,강릉시,한우,수,201909,83
강원도,강릉시,한우,수,201910,77
강원도,강릉시,한우,수,201911,66
강원도,강릉시,한우,수,201912,63
강원도,강릉시,한우,암,201901,81
강원도,강릉시,한우,암,201902,86
강원도,강릉시,한우,암,201903,150
강원도,강릉시,한우,암,201904,143
강원도,강릉시,한우,암,201905,143
강원도,강릉시,한우,암,201906,122
강원도,강릉시,한우,암,201907,94
강원도,강릉시,한우,암,201908,70
강원도,강릉시,한우,암,201909,72
강원도,강릉시,한우,암,201910,57
강원도,강릉시,한우,암,201911,68
강원도,강릉시,한우,암,201912,86
강원도,고성군,한우,수,201901,80
강원도,고성군,한우,수,201902,101
강원도,고성군,한우,수,201903,192
강원도,고성군,한우,수,201904,217
강원도,고성군,한우,수,201905,194
강원도,고성군,한우,수,201906,159
강원도,고성군,한우,수,201907,117
강원도,고성군,한우,수,201908,106
강원도,고성군,한우,수,201909,113
강원도,고성군,한우,수,201910,111
강원도,고성군,한우,수,201911,90
강원도,고성군,한우,수,201912,81
강원도,고성군,한우,암,201901,66
강원도,고성군,한우,암,201902,104
강원도,고성군,한우,암,201903,171
강원도,고성군,한우,암,201904,200
강원도,고성군,한우,암,201905,189
강원도,고성군,한우,암,201906,155
강원도,고성군,한우,암,201907,124
강원도,고성군,한우,암,201908,86
강원도,고성군,한우,암,201909,102
강원도,고성군,한우,암,201910,89
강원도,고성군,한우,암,201911,95
강원도,고성군,한우,암,201912,77
강원도,동해시,한우,수,201901,5
강원도,동해시,한우,수,201902,12
강원도,동해시,한우,수,201903,19
강원도,동해시,한우,수,201904,31
강원도,동해시,한우,수,201905,23
강원도,동해시,한우,수,201906,21
강원도,동해시,한우,수,201907,12
강원도,동해시,한우,수,201908,13
